Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Series,Color,Resolution,Weight,USB,Battery,Graphics,Disk_size,Card_desc,Price
"Acer Swift 3 Light Laptop, 14"" FHD IPS, AMD Ryzen 7 4700U Octa-Core Processor with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, WiFi 6, Backlit Keyboard, Fingerprint Reader, SF314-42-R9YN (Renewed)",Acer,14 Inches,AMD R Series,8 GB,Windows 10 Home,4.3,SF314-42-R9YN,Silver,nan,nan,nan,nan,Amd,512,Integrated,nan
"Acer 2022 Aspire 3 17.3"" FHD IPS Laptop PC Intel 11th Gen 2-Core i3-1115G4 Intel UHD Graphics 12GB RAM DDR4 256GB NVMe SSD HDMI WiFi AC BT RJ-45 Webcam Windows 10 Home w/ RE Accessories",Acer,17.3 Inches,Core i3 Family,12 GB,Windows 10 Home,4.6,Aspire A317,Silver,nan,nan,nan,nan,Intel UHD Graphics,256 GB,Integrated,nan
"Acer Chromebook 311| 1.10 GHz Intel Celeron N4020 Dual-core | 32GB Storage | 4GB LPDDR4 RAM | 11.6"" In-plane Switching (IPS) Technology 1366 x 768 Display | Google Chrome OS | (Renewed)",Acer,11.6 Inches,Celeron N4020,4 GB,Chrome OS,4.3,Acer Chromebook,nan,nan,nan,nan,nan,ARM,32 GB,Integrated,nan
Acer Aspire 5 Slim Laptop in Gold 11th Gen. Quad Core Intel i5 up to 4.2GHz 8GB RAM 256GB SSD 14in Full HD Iris Xe Graphics Windows 11 (Renewed),Acer,14 Inches,Core i5,8 GB,Windows 11 Home,4.5,AS5,Gold,nan,nan,nan,nan,Intel,256 GB,Integrated,nan
"Acer Nitro 5 AN515-58-725A Gaming Laptop | Intel Core i7-12700H | NVIDIA GeForce RTX 3060 GPU | 15.6"" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | RGB Keyboard",Acer,15.6 Inches,Core i7,16 GB,Windows 11 Home,4.6,AN515-58-725A,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,nan,Dedicated,"$1,524.99"
"Panasonic Toughbook CF-53 MK4, i5-4310M 2.00GHz, 14 HD, 16GB, 512GB SSD, Windows 10 Pro, WiFi, Bluetooth, DVD (Renewed)",Toughbook,14 Inches,Core i5 4310U,16 GB,Windows 10 Pro,5.0,CF-53 mk4,Eclipse Gray,nan,nan,nan,nan,Intel HD Graphics 4400,512 GB,Integrated,nan
"Acer 2022 Newest Aspire 5 Slim Laptop, 15.6 inch FHD Display, AMD Ryzen 7 3700U, 24GB RAM, 1T SSD, WiFi 6, Bluetooth 5, Backlit Keyboard, Fingerprint Reader, Windows 11 Home, Bundled with JAWFOAL",Acer,nan,Ryzen 7 3700U,8 GB,Windows 11 Home,4.3,Acer Aspire 5 Slim Laptop,Silver,nan,nan,nan,nan,AMD Radeon RX Vega 10,512 GB,Integrated,$589.99
Toughbook CF-19/MK7/16GB RAM/256GB SOLID STATE HARD DRIVE/WINDOWS 10 PRO/WIFI/PANASONIC CORE i5/2.7Ghz/10.4XGA TOUCH SCREEN/BLUETOOTH 4.0/INTEL 3340M (Renewed),Toughbook,10.1 Inches,Core i5,16 GB,Windows 10 Pro,4.6,Touch,nan,nan,nan,nan,nan,Intel,256 GB,Integrated,nan
"Panasonic Toughbook 54, CF54 MK2, Intel Core i56300U 2.40GHz, FHD, Gloved Multi Touch, 256GB SSD, 16GB, Wifi, Bluetooth, 4G LTE (Renewed)",Toughbook,14 Inches,Core i5 Family,16 GB,Windows 10 Pro,3.6,CF-54,nan,nan,nan,nan,nan,Intel HD Graphics 520,256 GB,Integrated,nan
"Panasonic Toughbook CF-31 MK5 Intel CORE I5-5300U, 2.30GHZ, 13.1"" XGA Touchscreen, 8GB, 500GB, Wi-Fi, TPM, Bluetooth, Dual Pass, Windows 10 Pro, (Please Read Seller's Upgrades in Conditions Notes)",Panasonic,13.1 Inches,I5-4670k,8 GB,Windows 10 Pro,2.0,Intel,Black / Silver Top,nan,nan,nan,nan,HD Graphics 515,500 GB,Integrated,"$2,299.99"
Panasonic TOUGHBOOK CF-54 I5-7300U 2.6G,Panasonic,14 Inches,8032,8 GB,Windows 10 Pro,,CF-54,nan,nan,4.2 Pounds,nan,nan,Intel HD Graphics 620,nan,Integrated,nan
"FZ-55 Panasonic Toughbook 55 Intel Core i5-8365U, 1.6GHz/4.1GHz, 14.0"" FHD Touchscreen, 8GB, 512GB SSD, HDMI, Bluetooth, USB-A x 2, USB-C x 1, LAN, Webcam, Backlit Keyboard, Windows 10 Pro",Toughbook,14 Inches,Core i5 8250U,8 GB,Windows 10 Pro,4.2,Panasonic Toughbook,Black,nan,nan,nan,nan,Intel,512 GB,Integrated,"$2,689.99"
"Panasonic Toughbook CF-53 MK4, i5-4310M 2.00GHz, 14 HD Touchscreen, 8GB, 480GB SSD, Windows 10 Pro, WiFi, Bluetooth, DVD (Renewed)",Panasonic,14 Inches,Core i5 4310U,8 GB,Windows 10,4.2,CF-53 MK4,Silver/Black,nan,nan,nan,nan,Intel HD Graphics 4400,480 GB,Integrated,nan
"Panasonic Toughbook CF-53 MK4, i5-4310M 2.00GHz, 14 HD, 8GB, 256GB SSD, Windows 10 Pro, WiFi, Bluetooth, DVD (Renewed)",Toughbook,14 Inches,Core i5 Family,8 GB,Windows 10 Pro,,CF-53 mk4,nan,nan,nan,nan,nan,Intel HD Graphics 4400,256 GB,Integrated,nan
"Panasonic Toughbook CF-52 MK5, i5-3360M 2.80GHz,15.4 WUXGA, 8GB, 240SSD, Windows 10 Pro (Renewed)",Panasonic,15.4 Inches,Core i5,8 GB,Windows 10,4.3,CF-52 MK5,Grey/black,nan,nan,nan,nan,Intel HD Graphics 4000,240 GB,Integrated,nan
"Panasonic Toughbook, CF-54C3001CM, Window 10 Pro, Intel Core I5-5300U 2.30GHZ, VPRO, 14.0” FHD, Gloved Multi Touch, 256GB SSD, 8GB, TPM, Bluetooth, Emissive Backlit Keyboard. (Renewed)",Toughbook,14 Inches,Core i5,8 GB,Window 10 pro,3.0,CF-54C3001CM,nan,nan,nan,nan,nan,Intel® HD Graphics 5500,256 GB,Integrated,nan
"Toughbook Panasonic FZ-55 MK2, 14.0"" HD, Intel Core i7-1185G7 (up to 4.8GHz) vPro, 16GB, 512GB Opal NVMe SSD, 4G LTE, Wi-Fi 6, BT, IR Webcam, TPM 2.0, Backlit Keyboard, Windows 10 Pro",Toughbook,14 Inches,Intel Core i7,16 GB,Windows 10 Pro,,FZ-55 MK2,nan,nan,nan,nan,nan,Intel Iris Xe Graphics,512 GB,Integrated,"$2,999.99"
"PANASONIC TOUGHBOOK CF-31 MK1 i5 2.4GHZ, 320GB Hard Drive, 4GB Ram, Windows 7 Pro",Toughbook,13.1 Inches,Core i5,4 GB,Windows 7 Professional,3.0,CF-31MK1,nan,nan,nan,nan,nan,Intel HD Graphics,320 GB,Integrated,"$2,449.99"
Black Panasonic Toughbook CF-31 - Touchscreen - 8GB Ram - 480GB SSD - DVD-RW - Touchscreen - Backlit Keyboard - (Renewed),Toughbook,13 Inches,Core i5-520M,8 GB,Windows 10 Professional - 64bit,4.4,Toughbook CF-31,Black,nan,nan,nan,nan,Intel,480 GB,Integrated,nan
"Toughbook Panasonic Toughpad FZ-G1 Intel Core i5-5300U 2.30GHz, 10.1 inches WUXGA Gloved Multi Touch + Digitizer LCD, Win 10 Pro, 256GB SSD, 8GB, Long Life Battery, LAN Port (Renewed)",Toughbook,10.1 Inches,Core i5,8 GB,Window 10 pro,4.0,FZ-G1J6375VM,Silver,nan,nan,nan,nan,nan,256 GB,Integrated,nan
"Acer 2022 Nitro 5 17.3"" FHD IPS 144Hz Gaming Laptop, 12th Intel i5-12500H(12 Core, up to 4.5GHz), GeForce RTX 3050, 32GB RAM 1TB PCIe SSD, Backlit KB, Thunderbolt 4, Windows 11, w/GM Accessories",Acer,17.3 Inches,Core i5,32 GB,Windows 11 Home,4.7,Nitro 5,Red Backlit,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,1 TB,Dedicated,"$1,049.00"
"Acer Chromebook Spin 511 2-in-1 with Intel Celeron N4000 1.1GHz (11.6-inch, 4GB RAM, 32GB Flash) Black (Renewed)",Acer,11.6 Inches,Celeron,4 GB,Chrome OS,4.8,Acer Chromebook,Black,nan,nan,nan,nan,nan,32 GB,Integrated,nan
"Acer Chromebook Spin 311 CP311-2H-C3KA Convertible Laptop, Intel Celeron N4000, 11.6"" HD Touchscreen, 4GB LPDDR4, 64GB eMMC, Gigabit WiFi, Bluetooth 5.0 (Renewed)",Acer,11.6 Inches,Celeron N4000,4 GB,Chrome OS,4.4,Acer Chromebook Spin 311,Black/silver,nan,nan,nan,nan,Intel HD Graphics 400,64 GB,Integrated,nan
"Acer 2022 Newest Aspire 5 Slim 15.6"" FHD IPS Laptop, AMD Quad-Core Ryzen 3 3350U(Up to 3.5GHz,Beat i5-7200U), 12GB DDR4 RAM, 512GB SSD, WiFi 6, Backlit Keyboard, Fingerprint, HDMI, Windows 11+JVQ MP",Acer,15.6 Inches,Ryzen 3 3350U,12 GB,Windows 11,4.5,Acer Aspire 5,Silver,nan,nan,nan,nan,Radeon Vega 6 Graphics,512 GB,Integrated,$479.00
"Acer 2023 Newest Aspire Vero AV15-51-7617 Green Laptop,15.6"" FHD IPS Display, Intel Core i7-1195G7 , 16GB RAM, 512GB NVMe SSD, Intel Iris Xe Graphics, Wi-Fi 6, Windows 11 Home, Bundle with JAWFOAL",Acer,15.6 Inches,Core i7,16 GB,Windows 11 Home,5.0,Acer Aspire Vero,Gray,nan,nan,nan,nan,Intel Iris Xe Graphics,512 GB,Integrated,$649.99
"Acer 2023 Newest Aspire 5 Slim Laptop, 15.6"" Full HD Display, 12GB RAM, 1TB SSD Storage, AMD Ryzen 4-Core Processor, Backlit Keyboard, Fingerprint Login, HDMI, Ethernet Port, Type-C, Windows 11 S",Acer,15.6 Inches,Ryzen 3,12 GB,Windows 11 S,4.5,Aspire 5,nan,nan,nan,nan,nan,Radeon Vega 6 Graphics,1 TB,Integrated,$497.82
"Acer Aspire 7 A715-76-765N Laptop | 15.6"" Full HD IPS Display | 12th Gen Intel Core i7-12700H | 8GB DDR4 | 512GB NVMe Gen 4 SSD | Wi-Fi 6 | Thunderbolt 4 | Backlit Keyboard | Fingerprint Reader",Acer,15.6 Inches,Core i7,8 GB,Windows 11 Home,4.2,A715-76-765N,Black,nan,nan,nan,nan,Intel Iris Xe Graphics,nan,Integrated,$869.99
"Acer 2023 Newest Aspire 5 Slim Essential Laptop, 15.6"" Full HD IPS Display, 20GB RAM, 1TB SSD, Intel Dual-Core i3 Processor Up to 4.1 GHz, HDMI, Windows 11 S",Acer,15.6 Inches,Intel Core i3,20 GB,Windows 11,3.9,Aspire 5,nan,nan,nan,nan,nan,Intel UHD Graphics,1 TB,Integrated,$437.62
"Lenovo IdeaPad Gaming 3 - 2022 - Everyday Gaming Laptop - NVIDIA GeForce RTX 3050 Graphics - 15.6"" FHD Display - 120 Hz - AMD Ryzen 5 6600H - 8GB DDR5 - 258GB SSD - Win 11 - Free 3-month Xbox GamePass",Lenovo,15.6,Ryzen 5,8 GB,Windows 11 Home,4.4,IdeaPad Gaming 3,Onyx Grey,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,256,Dedicated,$649.99
"Acer 2022 Newest Aspire 5 Slim 15.6"" FHD Laptop, Dual-Core Core i3-1115G4 (Upto 4.1GHz,Beat i5-7200U), 8GB DDR4 RAM, 128GB NVMe SSD,UHD Graphics, RJ45, WiFi 6, HD Webcam, Windows 11 S+MarxsolCables",Acer,15.6 Inches,Core i3 Family,8 GB,Windows 11 Home S Mode,3.8,Newest Acer Aspire 5 Laptop,Pure Silver,nan,nan,nan,nan,Intel UHD Graphics,128 GB,Integrated,$379.00
"Acer Swift X SFX14-41G-R1S6 Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 7 5800U | NVIDIA RTX 3050Ti GPU | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Backlit KB | Amazon Alexa | Windows 10 Home",Acer,14 Inches,AMD Ryzen 7,16 GB,Windows 10 Home,4.4,Swift X,Gold,nan,nan,nan,nan,nan,512 GB,Dedicated,$729.00
"Acer Swift 3 Intel Evo Thin & Light Laptop, 13.5"" 2256 x 1504 IPS, Intel Core i7-1165G7, Intel Iris Xe Graphics, 8GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF313-53-78UG",Acer,13.5 Inches,Core i7,8 GB,Windows 10 Home,4.4,SF313-53-78UG,Silver,nan,nan,nan,nan,Intel Iris Xe Graphics,512 GB,Integrated,$598.00
"Acer Chromebook 512 Laptop | Intel Celeron N4020 | 12"" HD+ Display | Intel UHD Graphics 600 | 4GB LPDDR4 | 32GB eMMC | Intel 9560 802.11ac Gigabit WiFi 5 | MIL-STD 810G | Chrome OS | CB512-C1KJ",Acer,12 Inches,Celeron N4020,4 GB,Chrome OS,4.3,CB512-C1KJ,Black,nan,nan,nan,nan,nan,nan,Integrated,$131.00
"Acer 2022 Newest Aspire 5 Slim Laptop, 15.6 inch Full HD IPS Display, Intel Core i3-1115G4 Processor(Beat i5-1030G7), 12GB RAM, 512GB SSD, WiFi 6, Windows 11 Home in S Mode, Bundle with JAWFOAL",Acer,15.6 Inches,Core I3 1115G4,12 GB,Windows 11 S,4.4,Aspire 5,Silver,nan,nan,nan,nan,Intel UHD Graphics,nan,Integrated,$439.99
"Acer 2022 Newest Chromebook 17.3"" FHD 1080p Widescreen Light Laptop, Intel Celeron N4500 (Up to 2.8GHz), 4GB RAM, 64GB eMMC,HD Webcam,UHD Graphics, WiFi 6, 10+ Hours Battery,Chrome OS,w/MarxsolCables",Acer,17.3 Inches,Celeron N,4 GB,Chrome OS,4.3,Newest Acer 17 Inch Chromebook,Silver,nan,nan,nan,nan,Intel UHD Graphics 5000,64 GB,Integrated,$329.00
"Acer 2022 Aspire 3 A315 15.6"" FHD IPS Display Slim Laptop 12th Gen Intel 10-Core i5-1235U 8GB RAM 512GB(256x2) NVMe SSD Iris Xe Graphics WiFi AC BT HDMI Webcam Silver Windows 10 Pro w/ RE 32GB USB",Acer,15.6 Inches,Core i5 Family,8 GB,Windows 10 Pro,4.3,A315-59-53ER,Silver,nan,nan,nan,nan,Intel Iris Xe Graphics,512 GB,Integrated,nan
"Acer Aspire 5 Slim Laptop | 15.6"" Full HD IPS Display | 11th Gen Intel i3-1115G4 Processor (Beat i5-1030G7) | Intel UHD Graphics | 8GB RAM | 256GB SSD | Windows 11 Home in S Mode | TWE HDMI Cable",Acer,15.6 Inches,Intel Core i3,8 GB,Windows 11 Home,4.5,nan,Silver,nan,nan,nan,nan,Intel UHD Graphics,256 GB,Integrated,$375.99
"Acer 2023 Newest Enduro Urban 14 Inch FHD Business Laptop, Intel Core i7-1165G7 Up to 4.7GHz, 16GB RAM, 1TB PCIE SSD, Waterproof Ports, Intel Iris Xe, Windows 10, Hunter Green +CUE Accessories",Acer,14 Inches,Intel Core i7,16 GB,Windows 10 Home,,nan,nan,nan,nan,nan,nan,Intel Iris Xe Graphics,1 TB,Integrated,$649.00
"Acer 2022 Newest Aspire 5 15.6"" FHD IPS Slim Laptop, AMD Ryzen 3 3350U 4-Core Processor(Up to 3.5GHz), 20GB RAM, 1TB NVMe SSD, Backlit KB, Fingerprint Reader, Amazon Alexa, Win 11 S, 3in1 Accessories",Acer,15.6 Inches,Ryzen 3 3350U,20 GB,Windows 11 S,4.4,Acer Aspire,Silver,nan,nan,nan,nan,‎Radeon Vega 6 Graphics,1 TB,Integrated,$599.00
"Acer 2023 14 inch HD Touchscreen ThinLight Chromebook, Intel Celeron N4000(UP to 2.6GHz), 4GB RAM, 64GB eMMC, WiFi 5, Webcam, Type-A&C, Up to 12 Hours Battery Life, Chrome OS, w/ CUE Accessories",Acer,14 Inches,Celeron N4000,4 GB,Chrome OS,3.3,nan,nan,nan,nan,nan,nan,Intel UHD Graphics 600,64 GB,Integrated,$219.00
"Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL",Acer,16 Inches,Core i9,32 GB,Windows 11 Home,4.5,PT516-52s-99EL,Gray,nan,nan,nan,nan,nan,nan,Dedicated,nan
"Panasonic Toughbook 31, CF-31 MK6, 13.1-inch XGA Touch, Intel Core i5-7300M @2.60GHz, 32GB, 1TB SSD, Wi-Fi, BT, 4G LTE Multi Carrier, GPS, Emissive Backlit Keyboard, Windows 10 Pro (Renewed)",Toughbook,13.1 Inches,Core i5 Family,32 GB,Windows 10 Pro,4.8,CF-31,nan,nan,nan,nan,nan,Intel HD Graphics 620,1 TB,Integrated,nan
"Acer 2022 15.6"" FHD IPS Touchscreen Chromebook, Intel Dual-Core Celeron N Processor Up to 2.50GHz, 4GB RAM, 32GB SSD, Numeric Keypad, Ultra-Fast WiFi, Chrome OS-(Renewed)",Acer,15.6 Inches,Celeron N,4 GB,Chrome OS,4.4,"Acer 15.6"" Touch Chromebook",Silver,nan,nan,nan,nan,Intel,32 GB,Integrated,nan
"Panasonic Toughbook CF-53 Laptop PC, 14 HD Display, Intel i5-2520M 2.5GHz, 16GB RAM, 1TB SSD, Windows 10 (Renewed)",Panasonic,14 Inches,Core i5-2520M,16 GB,Windows 10,4.2,CF53RL1A,Black,nan,nan,nan,nan,Integrated Graphics,1 TB,Integrated,nan
"Panasonic Toughbook CF-53 14-inch Notebook Laptop - Intel Core i5-4310U 2.0 GHz, 8GB Memory, 256GB SSD, Windows 10 Pro (Renewed)",Panasonic,14 Inches,Core i5,8 GB,Windows 10 Pro,4.4,CF-53,nan,nan,nan,nan,nan,Intel HD Graphics 4400,256 GB,Integrated,nan
"Panasonic Toughbook CF-31 MK5, Intel i5-5300U 2.3GHz, 13.1 LED Touchscreen, 16GB, 1TB SSD, Windows 10 Pro, WiFi, Bluetooth, DVD, 4G LTE, Backlit Keyboard, Webcam (Renewed)",Panasonic,13.1 Inches,Core i5,16 GB,Windows 10,4.4,Panasonic Toughbook,Silver/Black,nan,nan,nan,nan,HD Graphics 5500,1 TB,Integrated,nan
"Panasonic Toughbook 54, CF-54 MK2, Intel Core i5-6300U 2.40GHz, 14in HD, Non-Touchscreen, 256GB SSD, 16GB, Wi-fi, Bluetooth, 4G LTE, Dual Pass, Backlit Keyboard, Webcam, Windows 10 Pro (Renewed)",Toughbook,14 Inches,Core i5 Family,16 GB,Windows 10 Pro,4.1,CF-54,"Black, Silver",nan,nan,nan,nan,Intel HD Graphics 520,256 GB,Integrated,nan
"Panasonic Toughbook 54, CF-54, MK2, 14.0in   FHD 1920 x 1080 Multi Touch, Intel Core i5-6300U CPU 2.40 GHz, 256GB SSD, 8GB, Wi-fi, Backlit Keyboard, Windows 10 Pro (Renewed)",Toughbook,14 Inches,Core i5,8 GB,Windows 10 Pro,3.5,CF-54 k2,nan,nan,nan,nan,nan,Intel HD Graphics 520,256 GB,Integrated,nan
"Panasonic Toughbook CF-19 MK7, i5-3340M 2.70GHz, 10.1 XGA Touchscreen, 16GB, 1 TB SSD, Windows 10 Pro, WiFi, Bluetooth, Backlit Keyboard (Renewed)",Panasonic,10.1 Inches,Core i5-3340M,16 GB,Windows 10,4.8,CF-19 MK7,Silver/Black,nan,nan,nan,nan,Intel® QM77 video controller,1 TB,Integrated,nan
"Panasonic Toughbook CF 33 with Core i5 2.6 Ghz Infrared Webcam 256 GB SSD 8 GB, Windows 10 Pro, Rugged Laptop, 12 inch Touch Screen - 3 Year Warranty",Toughbook,12 Inches,Core i5,8 GB,Windows 10 Pro,3.8,nan,nan,nan,nan,nan,nan,nan,256 GB,Integrated,"$3,699.00"
"Panasonic Toughbook CF-31 MK4, i5-3340M 2.7GHz, 13.1 XGA Touchscreen, 8GB, 480GB SSD, Windows 10 Pro, WiFi, Bluetooth (Renewed)",Panasonic,13.1 Inches,Core i5-3340M,8 GB,Windows 10,3.8,CF-31,Silver/Black,nan,nan,nan,nan,Intel QM77 video controller,480 GB,Integrated,nan
"Panasonic Toughbook 31, CF-31 MK6, 13.1 XGA Touch, Intel Core i5-7300M 2.60GHz, 16GB, 256GB SSD, Wi-Fi, BT, 4G LTE Multi Carrier, GPS, Emissive Backlit Keyboard, Windows 10 Pro (Renewed)",Toughbook,13.1 Inches,Intel Core i5,16 GB,Windows 10 Pro,,CF-31 mk6,nan,nan,nan,nan,nan,Intel HD Graphics 620,256 GB,Integrated,nan
"Panasonic Toughbook CF-31 MK5, Intel i5-5300U @2.3GHz, 13.1-inch LED Touchscreen, 16GB, 1TB SSD, Windows 10 Pro, WiFi, Bluetooth, DVD, 4G LTE (Renewed)",Panasonic,13.1 Inches,Core i5,16 GB,Windows 10 Pro,3.5,Toughbook,Silver/Black,nan,nan,nan,nan,Intel HD Graphics 5500,1 TB,"Integrated, Dedicated",nan
Black Panasonic Toughbook CF-31 █ Windows 11 █ + HD Webcam + Global GPS + Touchscreen + 16GB ram / 960GB SSD (Renewed),Panasonic,13.3 Inches,Core i5 5300U,16 GB,Windows 11 Pro 64bit,,Panasonic Toughbook CF-31,nan,nan,nan,nan,nan,Intel® HD Graphics 5500,960 GB,Integrated,nan
"Panasonic Toughbook CF-20, 10.1"" Multi Touch, 1920 x 1200, m5-6Y57@1.1GHz, 8GB, 256GB SSD, Wi-Fi, Bluetooth, Dual Pass, Webcam, Rear Camera, Emissive Backlit Keyboard, Win 10 Pro, 4G LTE (Renewed)",Toughbook,10.1 Inches,Intel Core M-5Y10 Processor,8 GB,Window 10 pro,4.2,Panasonic Toughbook,Black,nan,nan,nan,nan,nan,256 GB,Integrated,nan
"ASUS ROG Zephyrus G14 14-inch FHD 512GB SSD 2.9GHz VR Ready Laptop (8GB RAM, 8-Core AMD Ryzen 7, GeForce GTX 1650) Eclipse Gray, GA401IH-BR7N2BL",ASUS,14 Inches,AMD Ryzen 7,8 GB,Windows 10 Home,4.3,ROG Zephyrus G14,Moonlight White,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,512 GB,Dedicated,$880.00
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464",MSI,15.6 Inches,Core i7,16 GB,Windows 11 Home,4.4,Pulse GL66,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,nan,nan,"$1,298.96"
"MSI Stealth 15M Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11375H, NVIDIA GeForce RTX 3060, 16GB, 512GB SSD, Thunderbolt 4, WiFi 6, Win10, Carbon Gray (A11UEK-009)",MSI,15.6 Inches,Core i7,16 GB,Windows 10 Home,4.3,Stealth 15M A11UEK-009,Carbon Gray,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,Dedicated,"$1,099.00"
"ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6"" 144Hz FHD, GeForce RTX 3050 Ti, Intel Core i7-11370H, 8GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Eclipse Grey Color, TUF516PE-AB73",ASUS,15.6 Inches,Core i7,8 GB,Windows 10 Home,4.5,TUF Dash 15 (2021),Eclipse Grey,nan,nan,nan,nan,NVIDIA GeForce RTX 3050 Ti,512 GB,RTX 3050 Ti,$890.99
"MSI Prestige 14 Evo Professional Laptop: 14"" FHD Ultra-Thin Bezel Display, Intel Core i5-1135G7, Intel Iris Xe, 16GB RAM, 512GB NVMe SSD, Thunderbolt 4, Win10 Home, Intel Evo, Carbon Gray (A11M-628)",MSI,14 Inches,Core i5 Family,16 GB,Win 10 Multi-language /Free upgrade to Win 11,4.5,Prestige 14Evo A11M-628,Carbon Gray,nan,nan,nan,nan,nan,512 GB,Iris Xe,$749.99
"ASUS TUF F15 Gaming Laptop, 15.6""  144Hz FHD IPS-Type Display, Intel Core i5-10300H Processor, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506LH-AS51",ASUS,15.6 Inches,Core i5,8 GB,Windows 11 Home,4.6,ASUS TUF Gaming F15,Bonfire Black,nan,nan,nan,nan,nan,512 GB,Dedicated,$614.99
"GIGABYTE AERO 17 YE5 - 17.3"" 4K/UHD miniLED 120Hz, Intel Core i9-12900HK, NVIDIA GeForce RTX 3080 Ti GPU 16GB GDDR6, 32GB DDR5 RAM, 2TB SSD, Win11 Pro, Creator & Gaming Laptop (AERO 17 YE5-94US748HP)",GIGABYTE,17.3,Intel Core i9,16 GB,Windows 11 Pro,,AERO 17 YE5-94US748HP,Silver,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,"$3,774.81"
"GIGABYTE AERO 16 XE4 - 16"" 4K/UHD+ Samsung AMOLED - Intel Core i7-12700H GDDR6 - 16GB DDR4 RAM - 2TB SSD - Win11 Pro - Creator & Gaming Laptop (AERO 16 XE4-73US918HP)",GIGABYTE,16 Inches,Core i7,8 GB,Windows 11 Pro,3.0,AERO 16 XE4-73US918HP,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,2 TB,Integrated,"$1,816.81"
"GIGABYTE AORUS 15P (WB) Thin and Light Performance Gaming Laptop, 15.6-inch FHD 144Hz IPS, GeForce RTX 2070 MAX-Q, 10th Gen Intel i7-10750H, 16GB DDR4, 512GB NVMe SSD (AORUS 15P WB-7US1130SH)",GIGABYTE,15.6 Inches,Intel Core i7,16 GB,Windows 10 Home,4.1,AORUS 15P WB-7US1130SH,AORUS 15P - Thin & Light Gaming,nan,nan,nan,nan,NVIDIA GeForce RTX 2070 Max-Q,nan,Dedicated,"$1,214.75"
"GIGABYTE G5 MD - 15.6"" FHD IPS Anti-Glare 144Hz, Intel Core i5, NVIDIA GeForce RTX 3050 Ti Laptop GPU 4GB GDDR6, 16GB Memory, 512GB SSD, Win10 Home, Gaming Laptop (G5 MD-51US123SH)",GIGABYTE,15.6,Intel Mobile CPU,16 GB,Windows 10 Home,4.0,G5 MD-51US123SH,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,512 GB,Dedicated,nan
"GIGABYTE AORUS 15G XC - 15.6"" FHD IPS Anti-Glare 240Hz - Intel Core i7-10870H - NVIDIA GeForce RTX 3070 8GB GDDR6 - 32GB Memory - 512GB SSD - Windows 10 Home - Gaming Laptop (AORUS 15G XC-8US2430SH)",GIGABYTE,15 Inches,Intel Mobile CPU,32 GB,Windows 10 Home,4.3,AORUS 15G XC-8US2430SH,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,512 GB,Dedicated,"$1,319.63"
"GIGABYTE - 15.6"" FHD 144Hz, Intel Core i5-11400H, NVIDIA GeForce RTX 3060 GPU 6GB GDDR6, 16GB Memory, 512GB SSD, Win11 Home, Gaming Laptop (G5 KD-52US123SO)",GIGABYTE,15.6 Inches,Intel Mobile CPU,16 GB,Windows 11,4.3,G5 KD-52US123SO,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,Dedicated,nan
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 GPU | 15.6"" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard",Acer,15.6 Inches,Core I7 11800H,16 GB,Windows 10,4.6,Acer Predator Helios 300 PH315-54-760S,Black,nan,nan,nan,nan,nan,512 GB,Dedicated,"$1,202.71"
